checking-status,duration,credit-history,purpose,amount,savings,employment,rate,sex-status,guarantors,residence,property,age,installment,housing,num-credits,job,liable,phone,foreign,good-credit
0,36,1,0,2299,1,1,1,0,0,1,1,39,1,1,0,1,0,0,0,1
0,6,1,0,1352,1,0,0,0,0,0,0,23,1,0,0,0,0,1,0,1
0,11,0,0,7228,0,1,0,0,0,1,0,39,1,1,0,0,0,0,0,1
0,12,1,0,2073,1,1,1,0,1,0,0,28,1,1,0,1,0,0,0,1
1,24,0,0,2333,0,0,1,0,0,0,0,29,0,1,0,0,0,0,0,1
1,27,0,0,5965,0,1,0,0,0,0,1,30,1,1,0,1,0,1,0,1
0,12,1,0,1262,0,1,1,0,0,0,1,25,1,1,0,1,0,0,0,1
0,18,1,0,3378,0,1,0,0,0,0,0,31,1,1,0,1,0,1,0,1
1,36,0,0,2225,0,1,1,0,0,1,1,57,0,0,0,1,0,1,0,0
0,6,1,0,783,0,1,0,0,1,0,0,26,1,1,0,0,1,0,0,1
1,12,1,0,6468,0,0,0,0,0,0,1,52,1,1,0,1,0,1,0,0
0,36,0,0,9566,0,1,0,0,0,0,1,31,1,1,0,1,0,0,0,1
1,18,1,0,1961,0,1,1,0,0,0,1,23,1,1,0,1,0,0,0,1
0,36,0,0,6229,0,0,1,0,1,1,1,23,1,0,0,0,0,1,0,0
1,9,1,1,1391,0,1,0,1,0,0,0,27,0,1,0,1,0,1,0,1
1,15,0,0,1537,0,1,1,0,1,1,0,50,1,1,0,1,0,1,0,1
1,36,1,1,1953,0,1,1,0,0,1,1,61,1,0,0,1,0,1,0,0
1,48,1,1,14421,0,1,0,0,0,0,1,25,1,1,0,1,0,1,0,0
0,24,1,0,3181,0,0,1,0,0,1,0,26,1,1,0,1,0,1,0,1
0,27,1,1,5190,0,1,1,0,0,1,0,48,1,1,1,1,1,1,0,1
0,12,1,0,2171,0,0,0,0,0,0,1,29,0,1,0,1,0,0,0,1
1,12,1,0,1007,1,1,1,1,0,0,0,22,1,1,0,1,0,0,0,1
0,36,1,1,1819,0,1,1,0,0,1,1,37,1,0,0,1,0,1,0,0
0,36,1,0,2394,0,1,1,0,0,1,1,25,1,1,0,1,0,0,0,1
0,36,1,0,8133,0,1,0,0,0,0,0,30,0,1,0,1,0,0,0,1
0,7,0,0,730,0,1,1,0,0,0,0,46,1,0,0,0,0,1,0,1
0,8,0,0,1164,0,1,1,0,0,1,1,51,0,0,0,1,1,1,0,1
1,42,0,1,5954,0,1,0,0,0,0,0,41,0,1,0,0,0,0,0,1
0,36,1,1,1977,0,1,1,0,0,1,1,40,1,1,0,1,0,1,0,0
0,12,0,0,1526,0,1,1,0,0,1,1,66,1,0,0,1,0,0,0,1
0,42,1,0,3965,0,0,1,0,0,1,1,34,1,1,0,1,0,0,0,0
1,11,0,0,4771,0,1,0,0,0,1,0,51,1,1,0,1,0,0,0,1
0,54,1,0,9436,0,1,0,0,0,0,0,39,1,1,0,0,1,0,0,1
1,30,1,0,3832,0,0,0,1,0,0,0,22,1,1,0,1,0,0,0,1
0,24,1,0,5943,0,0,0,0,0,0,1,44,1,1,0,1,0,1,0,0
0,15,1,0,1213,1,1,1,0,0,1,0,47,1,1,0,1,0,1,0,1
0,18,1,1,1568,1,1,1,0,0,1,0,24,1,0,0,0,0,0,0,1
0,24,1,0,1755,0,1,1,0,1,1,0,58,1,1,0,0,0,1,0,1
0,10,1,0,2315,0,1,1,0,0,1,0,52,1,1,0,0,0,0,0,1
0,12,0,1,1412,0,1,1,0,1,0,0,29,1,1,0,1,0,1,0,1
1,18,0,0,1295,0,0,1,0,0,0,0,27,1,1,0,1,0,0,0,1
1,36,1,1,12612,1,1,0,0,0,1,1,47,1,0,0,1,1,1,0,0
0,18,1,0,2249,1,1,1,0,0,1,1,30,1,1,0,1,1,1,0,1
0,12,1,1,1108,0,1,1,0,0,1,0,28,1,1,0,1,0,0,0,0
0,12,0,0,618,0,1,1,0,0,1,0,56,1,1,0,1,0,0,0,1
0,12,0,0,1409,0,1,1,0,0,1,0,54,1,1,0,1,0,0,0,1
0,12,0,0,797,0,1,1,0,0,1,0,33,0,1,0,0,1,0,0,0
1,24,0,0,3617,0,1,1,0,1,1,1,20,1,0,0,1,0,0,0,1
1,12,1,0,1318,1,1,1,0,0,1,0,54,1,1,0,1,0,1,0,1
1,54,1,1,15945,0,0,1,0,0,1,1,58,1,0,0,1,0,1,0,0
0,12,0,1,2012,0,1,1,0,0,0,1,61,1,1,0,1,0,0,0,1
1,18,1,1,2622,1,1,1,0,0,1,1,34,1,1,0,1,0,0,0,1
1,36,0,0,2337,0,1,1,0,0,1,0,36,1,1,0,1,0,0,0,1
1,20,0,0,7057,0,1,1,0,0,1,0,36,0,0,0,1,1,1,0,1
0,24,1,0,1469,1,1,1,1,0,1,0,41,1,0,0,0,0,0,0,1
1,36,1,0,2323,0,1,1,0,0,1,1,24,1,0,0,1,0,0,0,1
0,6,0,0,932,0,1,1,0,0,0,0,24,1,1,0,1,0,0,0,1
1,9,0,0,1919,0,1,1,0,0,1,1,35,1,0,0,1,0,1,0,1
0,12,1,0,2445,0,0,0,1,0,1,1,26,1,0,0,1,0,1,0,1
1,24,0,0,11938,0,1,0,0,1,1,1,39,1,1,0,1,1,1,0,0
0,18,1,0,6458,0,1,0,0,0,1,1,39,0,1,0,1,1,1,0,0
1,12,1,0,6078,0,1,0,0,0,0,1,32,1,1,0,1,0,0,0,1
0,24,1,0,7721,0,0,0,0,0,0,0,30,1,1,0,1,0,1,1,1
1,14,1,1,1410,1,1,0,1,0,0,0,35,1,1,0,1,0,1,0,1
1,6,0,1,1449,1,1,0,0,0,0,1,31,0,1,0,1,1,0,0,1
1,15,1,1,392,0,0,1,0,0,1,0,23,1,0,0,1,0,1,0,1
1,18,1,0,6260,0,1,1,0,0,1,0,28,1,0,0,0,0,0,0,1
0,36,0,0,7855,0,1,1,0,0,0,0,25,1,1,0,1,0,1,0,0
0,12,1,0,1680,1,1,1,1,0,0,0,35,1,1,0,1,0,0,0,1
0,48,0,0,3578,0,1,1,0,0,0,0,47,1,1,0,1,0,1,0,1
0,42,1,0,7174,0,1,1,0,0,1,1,30,1,1,0,1,0,1,0,0
0,10,0,0,2132,0,0,0,0,1,1,0,27,1,0,0,1,0,0,1,1
0,33,0,0,4281,1,1,0,0,0,1,1,23,1,1,0,1,0,0,0,0
1,12,0,0,2366,1,1,1,0,0,1,1,36,1,1,0,1,0,1,0,1
0,21,1,0,1835,0,1,1,0,0,0,0,25,1,1,0,1,0,1,0,0
0,24,0,0,3868,0,1,1,0,0,0,1,41,1,0,0,1,0,1,0,1
0,12,1,0,1768,0,1,1,0,0,0,0,24,1,0,0,0,0,0,0,1
1,10,0,0,781,0,1,1,0,0,1,1,63,1,0,0,1,0,1,0,1
1,18,1,0,1924,0,0,1,0,0,1,0,27,1,0,0,1,0,0,0,0
0,12,0,0,2121,0,1,1,0,0,0,0,30,1,1,0,1,0,0,0,1
0,12,1,0,701,0,1,1,1,0,0,0,40,1,1,0,0,0,0,0,1
1,12,1,1,639,0,1,1,0,0,0,1,30,1,1,0,1,0,0,0,0
1,12,0,0,1860,0,0,1,0,0,0,1,34,1,1,0,1,0,1,0,1
0,12,0,0,3499,0,1,1,0,1,0,0,29,1,1,0,1,0,0,0,0
1,48,1,0,8487,0,1,0,0,0,0,1,24,1,1,0,1,0,0,0,1
0,36,0,1,6887,0,1,1,0,0,1,0,29,1,1,0,1,0,1,0,0
0,15,1,0,2708,0,0,0,0,0,1,0,27,0,1,0,0,0,0,0,1
0,18,1,0,1984,0,1,1,0,0,1,1,47,0,0,0,1,0,0,0,1
0,60,1,0,10144,1,1,0,0,0,1,0,21,1,1,0,1,0,1,0,1
0,12,0,0,1240,0,1,1,0,0,0,0,38,1,1,0,1,0,1,0,1
0,27,0,0,8613,1,1,0,0,0,0,1,27,1,1,0,1,0,0,0,1
1,12,1,0,766,1,1,1,0,0,1,0,66,1,1,0,0,0,0,0,0
1,15,0,0,2728,0,1,1,0,1,0,0,35,0,1,1,1,0,1,0,1
1,12,1,0,1881,0,1,0,0,0,0,1,44,1,0,0,0,0,1,0,1
1,6,1,0,709,1,0,0,1,0,0,0,27,1,1,0,0,0,0,1,1
1,36,1,0,4795,0,0,1,0,0,0,1,30,1,1,0,1,0,1,0,1
0,27,1,0,3416,0,1,1,0,0,0,1,27,1,1,0,1,0,0,0,1
0,18,1,0,2462,0,1,0,0,0,0,1,22,1,1,0,1,0,0,0,0
0,21,0,0,2288,0,0,1,0,0,1,0,23,1,1,0,1,0,1,0,1
1,48,1,1,3566,1,1,1,0,0,0,1,30,1,1,0,1,0,0,0,1
0,6,0,0,860,0,1,0,0,0,1,1,39,1,1,0,1,0,1,0,1
0,12,0,0,682,1,1,1,0,0,1,1,51,1,1,0,1,0,1,0,1
0,36,0,0,5371,0,1,1,0,1,0,0,28,1,1,0,1,0,0,0,1
0,18,0,0,1582,1,1,1,0,0,1,1,46,1,1,0,1,0,0,0,1
0,6,1,0,1346,1,1,0,0,0,1,1,42,0,0,0,1,1,1,0,1
0,10,1,0,1924,0,1,0,0,0,1,0,38,1,1,0,1,0,1,1,1
1,36,1,0,5848,0,1,1,0,0,0,1,24,1,1,0,1,0,0,0,1
1,24,0,0,7758,1,1,0,0,0,1,1,29,1,0,0,1,0,0,0,1
1,24,0,1,6967,1,1,1,0,0,1,1,36,1,0,0,1,0,1,0,1
0,12,1,0,1282,0,1,0,0,0,1,1,20,1,0,0,1,0,0,0,0
0,9,0,1,1288,1,1,1,0,1,1,0,48,1,1,0,1,1,0,1,1
0,12,1,1,339,0,1,1,1,0,0,1,45,0,1,0,0,0,0,0,1
1,24,1,0,3512,1,1,0,0,0,1,1,38,0,1,0,1,0,1,0,1
0,6,0,0,1898,0,1,0,0,0,0,0,34,1,1,0,0,1,0,0,1
0,24,0,0,2872,1,1,1,0,0,1,0,36,1,1,0,1,1,1,0,1
0,18,0,0,1055,0,0,1,0,0,0,0,30,1,1,0,1,0,0,0,1
0,15,1,0,1262,1,1,1,0,0,1,0,36,1,1,0,1,0,1,0,1
1,10,1,0,7308,0,0,0,0,0,1,1,70,0,0,0,1,0,1,0,1
0,36,1,0,909,1,1,1,0,0,1,0,36,1,1,0,1,0,0,0,1
0,6,1,0,2978,1,1,0,0,0,0,1,32,1,1,0,1,0,1,0,1
0,18,1,0,1131,0,0,1,0,0,0,1,33,1,1,0,1,0,0,0,0
1,11,1,0,1577,1,0,1,0,0,0,0,20,1,1,0,1,0,0,0,1
0,24,1,0,3972,0,1,0,0,0,1,0,25,1,0,0,1,0,1,0,1
1,24,0,1,1935,0,1,1,0,0,1,0,31,1,1,0,1,0,1,0,0
0,15,1,0,950,0,1,1,0,0,1,1,33,1,0,0,1,1,0,0,0
0,12,1,0,763,0,1,1,0,0,0,0,26,1,1,0,1,0,1,0,1
1,24,0,0,2064,0,0,1,0,0,0,0,34,1,1,0,1,0,1,0,0
1,8,1,0,1414,0,1,1,0,1,0,0,33,1,1,0,1,0,0,1,1
0,21,0,1,3414,0,0,0,0,0,0,0,26,1,1,0,1,0,0,0,0
0,30,1,0,7485,0,0,1,0,0,0,0,53,0,1,0,1,0,1,0,0
0,12,1,0,2577,0,1,0,0,0,0,1,42,1,1,0,1,0,0,0,1
0,6,0,0,338,1,1,1,0,0,1,1,52,1,1,0,1,0,0,0,1
0,12,1,0,1963,0,1,1,0,0,0,1,31,1,0,0,1,1,1,0,1
0,21,0,0,571,0,1,1,0,0,1,0,65,1,1,0,1,0,0,0,1
0,36,0,1,9572,0,0,0,0,0,0,1,28,1,1,0,1,0,0,0,0
1,36,0,1,4455,0,1,0,0,0,0,0,30,1,1,0,1,0,1,0,0
0,21,1,0,1647,0,1,1,0,0,0,0,40,1,1,0,0,1,0,0,0
0,24,0,0,3777,1,1,1,0,0,1,0,50,1,1,0,1,0,1,0,1
1,18,0,0,884,0,1,1,0,0,1,1,36,0,1,0,1,1,1,0,0
0,15,0,0,1360,0,1,1,0,0,0,0,31,1,1,0,1,0,0,0,1
1,9,1,0,5129,0,1,0,0,0,1,1,74,0,0,0,1,1,1,0,0
1,16,0,0,1175,0,0,0,0,0,1,1,68,1,0,1,0,0,1,0,1
0,12,1,0,674,1,1,1,1,0,0,0,20,1,1,0,1,0,0,0,0
1,18,1,0,3244,0,1,0,0,0,1,1,33,0,1,0,1,0,1,0,1
0,24,1,1,4591,1,1,0,0,0,1,0,54,1,1,1,1,0,1,0,0
1,48,1,1,3844,1,1,1,0,0,1,1,34,1,0,0,0,1,0,0,0
1,27,1,1,3915,0,1,1,0,0,0,1,36,1,1,0,1,1,1,0,0
0,6,1,0,2108,0,1,0,1,0,0,0,29,1,0,0,1,0,0,0,1
1,45,1,0,3031,1,1,1,0,1,1,0,21,1,0,0,1,0,0,0,0
1,9,0,1,1501,0,1,0,0,0,1,1,34,1,1,0,1,0,1,0,0
0,6,0,0,1382,0,1,0,0,0,0,1,28,1,1,0,1,0,1,0,1
1,12,1,0,951,1,0,1,0,0,1,1,27,0,0,1,1,0,0,0,0
1,24,1,0,2760,0,1,1,0,0,1,1,36,0,0,0,1,0,1,0,1
1,18,0,0,4297,0,1,1,0,0,1,1,40,1,1,0,1,0,1,0,0
0,9,0,1,936,1,1,1,0,0,0,1,52,1,1,0,1,0,1,0,1
0,12,1,0,1168,0,1,1,1,0,1,0,27,1,1,0,0,0,0,0,1
0,27,0,1,5117,0,1,1,0,0,1,1,26,1,1,0,1,0,0,0,1
0,12,1,1,902,0,1,1,1,0,1,0,21,1,0,0,1,0,0,0,0
0,12,0,0,1495,0,1,1,0,0,0,0,38,1,1,0,0,1,0,0,1
0,30,0,0,10623,0,1,1,0,0,1,1,38,1,0,1,1,1,1,0,1
0,12,0,0,1935,0,1,1,0,0,1,0,43,1,1,1,1,0,1,0,1
1,12,0,0,1424,0,1,1,0,0,1,0,26,1,1,0,1,0,0,0,1
0,24,1,1,6568,0,1,0,1,0,0,1,21,1,1,0,0,0,0,0,1
0,12,1,0,1413,1,1,1,0,0,0,0,55,1,1,0,1,0,0,1,1
0,9,0,0,3074,0,1,0,0,0,0,0,33,1,1,0,1,1,0,0,1
0,36,1,0,3835,0,1,0,0,0,1,0,45,1,1,0,0,0,1,0,1
0,27,1,1,5293,0,0,0,0,0,1,0,50,1,1,0,1,0,1,0,0
1,30,0,1,1908,0,1,1,0,0,1,0,66,1,1,0,1,0,1,0,0
0,36,0,0,3342,0,1,1,0,0,0,1,51,1,1,0,1,0,1,0,1
1,6,0,1,932,0,1,0,0,0,1,0,39,1,1,0,0,0,0,0,1
0,18,1,1,3104,0,1,1,0,0,0,0,31,0,1,0,1,0,1,0,1
1,36,1,0,3913,0,1,0,0,0,0,0,23,1,1,0,1,0,1,0,1
0,24,1,0,3021,0,1,0,0,0,0,0,24,1,0,0,0,0,0,0,1
0,10,1,0,1364,0,1,0,0,0,1,1,64,1,1,0,1,0,1,0,1
1,12,1,0,625,0,0,1,1,1,0,0,26,0,1,0,0,0,0,0,1
0,12,1,1,1200,0,1,1,0,0,1,0,23,0,0,0,1,0,1,0,1
0,12,1,0,707,0,1,1,0,0,0,0,30,0,1,0,1,0,0,0,1
0,24,0,1,2978,0,1,1,0,0,1,0,32,1,1,0,1,1,1,0,1
0,15,1,0,4657,0,1,1,0,0,0,1,30,1,1,0,1,0,1,0,1
0,36,1,1,2613,0,1,1,0,0,0,1,27,1,1,0,1,0,0,0,1
1,48,1,0,10961,1,1,0,0,1,0,1,27,0,1,0,1,0,1,0,0
0,12,1,0,7865,0,1,1,0,0,1,1,53,1,0,0,1,0,1,0,0
0,9,1,0,1478,0,1,1,0,0,0,1,22,1,1,0,1,0,0,0,0
0,24,1,0,3149,0,0,1,0,0,0,1,22,0,0,0,1,0,0,0,1
1,36,1,0,4210,0,1,1,0,0,0,1,26,1,1,0,1,0,0,0,0
0,9,1,0,2507,1,1,0,0,0,1,1,51,1,0,0,0,0,0,0,1
0,12,1,0,2141,1,1,1,0,0,0,1,35,1,1,0,1,0,0,0,1
1,18,1,0,866,0,1,1,1,1,0,0,25,1,1,0,0,0,0,0,1
0,4,0,0,1544,0,1,0,0,0,0,0,42,1,1,1,0,1,0,0,1
0,24,1,0,1823,0,0,1,0,0,0,1,30,1,1,0,1,1,0,0,0
1,6,1,0,14555,0,0,0,0,0,0,0,23,1,1,0,0,0,1,0,0
1,21,1,1,2767,1,1,1,0,0,0,1,61,0,0,0,0,0,0,0,0
0,12,0,0,1291,0,1,1,0,0,0,0,35,1,1,0,1,0,0,0,1
0,30,1,0,2522,0,1,0,0,1,1,0,39,1,1,0,1,1,0,0,1
0,24,1,0,915,0,1,1,0,0,0,1,29,0,1,0,1,0,0,0,0
0,6,1,0,1595,0,1,1,0,0,0,0,51,1,1,0,1,1,0,0,1
0,48,1,0,4605,0,1,1,0,0,1,1,24,1,0,0,1,1,0,0,0
0,12,0,1,1185,0,1,1,0,0,0,0,27,1,1,0,1,0,0,0,1
0,12,1,1,3447,1,1,1,0,0,1,0,35,1,1,0,0,1,0,0,1
0,24,1,1,1258,0,1,1,0,0,0,0,25,1,1,0,1,0,1,0,1
0,12,0,0,717,0,1,1,0,0,1,0,52,1,1,1,1,0,0,0,1
0,6,1,0,1204,1,1,1,0,0,0,1,35,0,0,0,1,0,0,1,1
1,24,1,0,1925,0,1,0,0,0,0,0,26,1,1,0,1,0,0,0,1
0,18,1,0,433,0,0,1,0,1,1,0,22,1,0,0,1,0,0,0,0
0,6,0,0,666,1,1,1,0,0,1,0,39,1,1,0,0,0,1,0,1
1,12,1,0,2251,0,1,0,0,0,0,1,46,1,1,0,0,0,0,0,1
1,30,1,0,2150,0,1,1,0,1,0,1,24,0,1,0,1,0,0,0,0
0,24,0,0,4151,1,1,0,0,0,1,0,35,1,1,0,1,0,0,0,1
1,9,1,0,2030,0,1,0,0,0,0,1,24,1,1,0,1,0,1,0,1
1,60,0,0,7418,0,1,0,0,0,0,0,27,1,1,0,0,0,0,0,1
0,24,0,0,2684,0,1,1,0,0,0,0,35,1,1,0,0,0,0,0,1
0,12,1,0,2149,0,1,1,0,0,0,1,29,1,0,0,1,0,0,0,0
0,15,1,0,3812,1,0,0,0,0,1,1,23,1,1,0,1,0,1,0,1
0,11,0,0,1154,1,0,1,0,0,1,0,57,1,1,1,0,0,0,0,1
0,12,1,0,1657,0,1,0,0,0,0,0,27,1,1,0,1,0,0,0,1
0,24,1,0,1603,0,1,1,0,0,1,1,55,1,1,0,1,0,0,0,1
0,18,0,0,5302,0,1,0,0,0,1,1,36,1,0,1,1,0,1,0,1
0,12,0,1,2748,0,1,0,0,0,1,1,57,0,0,1,0,0,0,0,1
0,10,0,0,1231,0,1,1,0,0,1,0,32,1,1,0,0,1,0,1,1
1,15,1,0,802,0,1,1,0,0,1,1,37,1,1,0,1,1,0,0,0
0,36,0,1,6304,0,1,1,0,0,1,0,36,1,1,0,1,0,0,0,1
0,24,1,0,1533,0,0,1,0,0,1,1,38,1,1,0,1,0,1,0,1
0,14,1,0,8978,0,1,0,0,0,1,0,45,1,1,0,1,0,1,1,0
0,24,1,0,999,0,1,1,0,0,0,1,25,1,1,0,1,0,0,0,1
0,18,1,0,2662,0,1,1,0,0,1,0,32,1,1,0,1,0,0,1,1
0,12,0,0,1402,1,1,1,0,0,1,1,37,1,0,0,1,0,1,0,1
1,48,1,0,12169,0,0,1,0,1,1,1,36,1,0,0,1,0,1,0,1
1,48,1,0,3060,0,1,1,0,0,1,0,28,1,1,0,1,0,0,0,0
0,30,1,1,11998,0,0,0,0,0,0,1,34,1,1,0,0,0,1,0,0
0,9,1,0,2697,0,1,0,0,0,0,0,32,1,1,0,1,1,0,0,1
0,18,0,0,2404,0,1,0,0,0,0,1,26,1,1,0,1,0,0,0,1
0,12,1,0,1262,0,1,0,0,0,1,0,49,1,1,0,0,0,1,0,1
0,6,1,0,4611,0,0,0,0,0,1,0,32,1,1,0,1,0,0,0,0
0,24,1,0,1901,1,1,1,0,0,1,1,29,1,0,0,1,0,1,0,1
0,15,0,0,3368,1,1,1,0,0,1,1,23,1,0,0,1,0,1,0,1
0,12,1,0,1574,0,1,1,0,0,0,0,50,1,1,0,1,0,0,0,1
1,18,1,0,1445,0,1,1,0,0,1,1,49,0,1,0,0,0,0,0,1
0,15,0,0,1520,0,1,1,0,0,1,0,63,1,1,0,1,0,0,0,1
1,24,0,0,3878,1,0,1,0,0,0,1,37,1,1,0,1,0,1,0,1
0,47,1,0,10722,0,0,0,0,0,0,0,35,1,1,0,0,0,1,0,1
0,48,1,0,4788,0,1,1,0,0,1,0,26,1,1,0,1,1,0,0,1
1,48,0,0,7582,1,0,0,0,0,1,1,31,1,0,0,1,0,1,0,1
1,12,1,0,1092,0,1,1,0,1,1,0,49,1,1,0,1,0,1,0,1
0,24,0,0,1024,0,0,1,1,0,1,0,48,1,1,0,1,0,0,0,0
0,12,1,1,1076,0,1,0,1,0,0,0,26,1,1,0,1,0,1,1,1
1,36,1,0,9398,0,0,0,1,0,1,1,28,1,0,0,1,0,1,0,0
0,24,0,0,6419,0,1,0,0,0,1,1,44,1,0,0,1,1,1,0,1
1,42,0,0,4796,0,1,1,0,0,1,1,56,1,0,0,1,0,0,0,1
0,48,0,1,7629,0,1,1,0,0,0,1,46,0,1,0,1,1,0,0,1
1,48,1,0,9960,0,0,0,0,0,0,1,26,1,1,0,1,0,1,0,0
0,12,1,0,4675,0,0,0,0,0,1,1,20,1,0,0,1,0,0,0,1
0,10,1,0,1287,0,1,1,0,1,0,0,45,1,1,0,0,0,0,1,1
0,18,1,0,2515,0,1,1,0,0,1,0,43,1,1,0,1,0,1,0,1
1,21,0,0,2745,1,1,1,0,0,0,1,32,1,1,0,1,0,1,0,1
0,6,1,0,672,0,0,0,0,0,1,0,54,1,1,0,0,0,1,0,1
1,36,1,0,3804,0,1,1,0,0,0,1,42,1,1,0,1,0,1,0,0
1,24,0,0,1344,0,1,1,0,0,0,0,37,0,1,0,0,1,0,0,0
0,10,0,0,1038,0,1,1,0,1,1,0,49,1,1,0,1,0,1,0,1
0,48,0,0,10127,1,1,0,0,0,0,1,44,0,0,0,1,0,0,0,0
0,6,1,0,1543,1,1,1,0,0,0,0,33,1,1,0,1,0,0,0,1
0,30,1,0,4811,0,1,0,0,0,1,0,24,1,0,0,0,0,0,0,1
0,12,1,0,727,1,0,1,1,0,1,1,33,1,1,0,0,0,1,0,0
1,8,1,0,1237,0,1,1,0,0,1,0,24,1,1,0,1,0,0,0,0
1,9,1,0,276,0,1,1,1,0,1,0,22,1,0,0,0,0,0,0,1
1,48,1,0,5381,0,0,1,0,0,1,1,40,0,0,0,0,0,1,0,1
0,24,1,0,5511,1,1,1,0,0,0,1,25,1,1,0,1,0,0,0,1
1,24,1,0,3749,0,0,0,0,0,1,1,26,1,1,0,1,0,0,0,1
1,12,1,0,685,0,1,0,1,0,1,1,25,0,1,0,0,0,0,0,0
1,4,1,0,1494,0,0,0,0,0,0,0,29,1,1,0,0,1,0,1,1
0,36,1,0,2746,0,1,1,0,0,1,1,31,0,1,0,1,0,0,0,0
0,12,1,0,708,0,1,0,0,1,1,0,38,1,1,0,0,1,0,0,1
1,24,1,0,4351,0,1,0,0,0,1,0,48,1,1,0,0,0,1,0,1
0,12,0,1,701,0,1,1,0,0,0,1,32,1,1,0,1,0,0,0,1
0,15,0,0,3643,0,1,0,0,0,1,0,27,1,1,0,0,0,0,0,1
1,30,0,0,4249,0,0,1,1,0,0,1,28,1,1,0,1,0,0,0,0
0,24,1,0,1938,0,0,1,0,0,1,0,32,1,1,0,1,0,0,0,0
0,24,1,0,2910,0,1,0,0,0,0,1,34,1,0,0,1,0,1,0,1
